study_label,item_type,frame_tag,verbatim_quote,page,cited_work,note
"Bauer, Hann (2010)",frame_use,RISK,"Our conceptual framework is based on the view that environmental practices influence the solvency of borrowing firms by determining their exposure to legal, reputational, and regulatory risks.",2,,authors' own conceptual frame: env practices -> solvency via risk exposure
"Bauer, Hann (2010)",frame_use,STAKE,Stakeholders who take issue with socially questionable practices or fear reputational risks from being associated with an environmental scandal are likely to restrict or dissolve their relationship with the firm.,5,,stakeholder withdrawal from env offenders; feeds cash-flow volatility and default risk
"Bauer, Hann (2010)",frame_use,SIG,"In contrast, a proactive engagement in environmental matters is expected to reduce the likelihood as well as consequences of environmental violations, and can serve as a signal that management is committed to a low-risk environmental strategy.",8,,author claim: proactive engagement signals low-risk strategy; basis of H2
"Bauer, Hann (2010)",mechanism_extra,,"These environmental liabilities do not only burden the solvency of borrowers, but according to environmental law also often subordinate the claims of their debt holders.",4,,"claim-priority channel: env law subordinates debtholder claims, hurts recovery"
"Bauer, Hann (2010)",mechanism_extra,,"Particularly banks are cautious about financing firms with poor environmental practices because, next to the risk of incurring reputation and repayment losses (McKenzie and Wolfe, 2004), a too close involvement with such clients can make them liable for environmental obligations",5,,lender-liability channel raising funding cost for env offenders
"Bauer, Hann (2010)",mechanism_extra,,The reluctance of investors to finance or hold securities of environmental offenders can thus require an additional risk and liquidity premium on the cost of capital for firms with questionable practices,5,,investor-exclusion/screening channel: extra risk and liquidity premium
"Bauer, Hann (2010)",counter,,"While voluntary environmental disclosures can contain useful information for decision makers, we choose to ignore them since they ultimately represent an unaudited self-portrayal of the firm’s environmental performance.",10,,"greenwashing argument: voluntary disclosure unaudited, excluded from measure"
"Bauer, Hann (2010)",paris_policy,,"We argue that the relevance of corporate environmental management has increased over the recent years, as a result of the growing climate change concerns and investors’ awareness of the associated regulatory risks.",20,,climate-policy amplification: climate concerns raise perceived regulatory risk over time
"Bauer, Hann (2010)",key_citation,,"Reinhardt (1999) argues that an engagement beyond compliance standards can improve production efficiency, increase demand from environmentally sensitive consumers, discourage stakeholder activism, and help firms to attract skilled workers.",8,Reinhardt (1999),sole theory source used to derive H2 cash-flow/profitability argument
"Bauer, Hann (2010)",key_citation,,"Graham, Maher, and Northcut (2001) report that a firm’s listing as potentially responsible party for Superfund liabilities is associated with a significant deterioration of its bond ratings.",6,"Graham, Maher, and Northcut (2001)",anchor for env liability -> credit rating link
"Bauer, Hann (2010)",key_citation,,"Chava (2010) studies whether the environmental performance of firms affects the cost of their bank loans. The study documents a significantly negative relation, which is suggested to result from an increase in environmentally responsible lending.",7,Chava (2010),closest antecedent: env performance and cost of bank loans
"Bauer, Hann (2010)",status,,,,,"SSRN working paper (2010 Moskowitz prize); explicit conceptual-framework and hypotheses sections on legal/reputational/regulatory risk; pre-Paris, so climate claims are Kyoto/IPCC-era."
Ben Slimane et al (2019),frame_use,RISK,"All in all, these studies seem to show that poor extra-financial performance, whether or not it is captured by credit ratings, increases the risk and therefore the cost of the debt.",4,,authors' summary of literature: ESG/E weakness raises risk hence cost of debt
Ben Slimane et al (2019),frame_use,AGENCY,Bhojraj and Sengupta (2003) also demonstrated that corporate governance mechanisms – reduction of agency risk of self-interest management and information risks from partial disclosure – higher bond rating and lower bond yield.,4,,cited finding; agency risk plus disclosure-information risk channel to yields
Ben Slimane et al (2019),mechanism_extra,,"If ESG ratings affect credit ratings, we can expect an effect on the bond valuation and the transmission channels to bond markets must be theoretically defined and empirically assessed.",4,,authors' claim: credit-rating channel as transmission of ESG into bond pricing
Ben Slimane et al (2019),mechanism_extra,,"Investors are paying increasing attention to sustainability criteria, which impacts asset prices. This phenomenon is likely to go on since demand for responsible financial instruments is increasing faster than supply.",2,,authors' claim: investor-base/demand-supply imbalance channel on prices
Ben Slimane et al (2019),mechanism_extra,,"From a bond picking perspective, the consensus is that companies with better corporate social responsibility generally face lower capital constraints (Cheng et al., 2014).",4,,cited consensus; capital-constraint/access-to-finance channel
Ben Slimane et al (2019),mechanism_extra,,"Nevertheless, it does not mean that ESG ratings and credit ratings give the same information about a corporation. If it was the case, we would observe a perfect correlation",22,,construct discussion: ESG score carries information incremental to credit rating
Ben Slimane et al (2019),counter,,"Additionally, owners are directly associated with the firm while lenders, that are not part of the board, fix the cost of the debt based purely on financial statements and covenants.",4,,"attenuation: lenders price on financials/covenants, less ESG-sensitive than equity"
Ben Slimane et al (2019),counter,,"This overall neutrality, sometimes associated with a lack of maturity in incorporating ESG information into the bond market",2,,"attenuation: diffusion lag / immature ESG pricing in bonds, null results"
Ben Slimane et al (2019),key_citation,,"The big challenge is then to build an integrated model that considers all the factors that can affect the cost of debt. For that, we use the approach developed by Crifo et al. (2017) that measures the marginal effect of ESG ratings.",22,Crifo et al. (2017),framework anchor: integrated credit-ESG model adopted for cost of debt
Ben Slimane et al (2019),key_citation,,"Concerning the cost of debt, Mentz (2010) also noted that “the debt market exhibits a considerable weight for corporate finance, for which reason creditors should basically play a significant role in the transmission of CSR into the valuation of financial instruments”.",4,Mentz (2010),creditor-transmission anchor; paper spells it Menz (2010) elsewhere
